Region,Dosis,Fecha,Cantidad
Araucanía,Primera,2021-01-08,711
Araucanía,Segunda,2021-01-08,0
Los Ríos,Primera,2021-01-08,145
Los Ríos,Segunda,2021-01-08,0
Los Lagos,Primera,2021-01-08,540
Los Lagos,Segunda,2021-01-08,0
Aysén,Primera,2021-01-08,0
Aysén,Segunda,2021-01-08,0
Magallanes,Primera,2021-01-08,165
Magallanes,Segunda,2021-01-08,0
Total,Primera,2021-01-09,10703
Total,Segunda,2021-01-09,0
Arica y Parinacota,Primera,2021-01-09,0
Arica y Parinacota,Segunda,2021-01-09,0
Tarapacá,Primera,2021-01-09,160
Tarapacá,Segunda,2021-01-09,0
Antofagasta,Primera,2021-01-09,0
Antofagasta,Segunda,2021-01-09,0
Atacama,Primera,2021-01-09,0
Atacama,Segunda,2021-01-09,0
Coquimbo,Primera,2021-01-09,0
Coquimbo,Segunda,2021-01-09,0
Valparaíso,Primera,2021-01-09,600
Valparaíso,Segunda,2021-01-09,0
Metropolitana,Primera,2021-01-09,5820
Metropolitana,Segunda,2021-01-09,0
O’Higgins,Primera,2021-01-09,0
O’Higgins,Segunda,2021-01-09,0
Maule,Primera,2021-01-09,503
Maule,Segunda,2021-01-09,0
Ñuble,Primera,2021-01-09,0
Ñuble,Segunda,2021-01-09,0
Biobío,Primera,2021-01-09,2059
Biobío,Segunda,2021-01-09,0
Araucanía,Primera,2021-01-09,711
Araucanía,Segunda,2021-01-09,0
Los Ríos,Primera,2021-01-09,145
Los Ríos,Segunda,2021-01-09,0
Los Lagos,Primera,2021-01-09,540
Los Lagos,Segunda,2021-01-09,0
Aysén,Primera,2021-01-09,0
Aysén,Segunda,2021-01-09,0
Magallanes,Primera,2021-01-09,165
Magallanes,Segunda,2021-01-09,0
Total,Primera,2021-01-10,10703
Total,Segunda,2021-01-10,0
Arica y Parinacota,Primera,2021-01-10,0
Arica y Parinacota,Segunda,2021-01-10,0
Tarapacá,Primera,2021-01-10,160
Tarapacá,Segunda,2021-01-10,0
Antofagasta,Primera,2021-01-10,0
Antofagasta,Segunda,2021-01-10,0
Atacama,Primera,2021-01-10,0
Atacama,Segunda,2021-01-10,0
Coquimbo,Primera,2021-01-10,0
Coquimbo,Segunda,2021-01-10,0
Valparaíso,Primera,2021-01-10,600
